Angulo;Velocidad;AlcanceX;AlcanceY;Tiempo total
41;30;90,85028154;45,42514077;4,012593449
42;6;3,649621634;1,824810817;0,818508387
42;12;14,59848654;7,299243269;1,637016774
42;18;32,84659471;16,42329735;2,455525161
42;24;58,39394615;29,19697308;3,274033548
42;30;91,24054086;45,62027043;4,092541935
43;6;3,660785506;1,830392753;0,834248758
43;12;14,64314202;7,321571011;1,668497517
43;18;32,94706955;16,47353477;2,502746275
43;24;58,57256809;29,28628404;3,336995034
43;30;91,51963764;45,75981882;4,171243792
44;6;3,667489273;1,833744637;0,84973501
44;12;14,66995709;7,334978547;1,699470019
44;18;33,00740346;16,50370173;2,549205029
44;24;58,67982838;29,33991419;3,398940039
44;30;91,68723184;45,84361592;4,248675049
45;6;3,669724771;1,834862385;0,864962423
45;12;14,67889908;7,339449541;1,729924847
45;18;33,02752294;16,51376147;2,59488727
45;24;58,71559633;29,35779817;3,459849694
45;30;91,74311927;45,87155963;4,324812117
46;6;3,667489273;1,833744637;0,879926361
46;12;14,66995709;7,334978547;1,759852723
46;18;33,00740346;16,50370173;2,639779084
46;24;58,67982838;29,33991419;3,519705445
46;30;91,68723184;45,84361592;4,399631806
47;6;3,660785506;1,830392753;0,894622265
47;12;14,64314202;7,321571011;1,78924453
47;18;32,94706955;16,47353477;2,683866795
47;24;58,57256809;29,28628404;3,57848906
47;30;91,51963764;45,75981882;4,473111325
48;6;3,649621634;1,824810817;0,909045658
48;12;14,59848654;7,299243269;1,818091316
48;18;32,84659471;16,42329735;2,727136974
48;24;58,39394615;29,19697308;3,636182632
48;30;91,24054086;45,62027043;4,54522829
49;6;3,634011261;1,817005631;0,923192147
49;12;14,53604505;7,268022523;1,846384294
49;18;32,70610135;16,35305068;2,769576441
49;24;58,14418018;29,07209009;3,692768588
49;30;90,85028154;45,42514077;4,615960735
50;6;3,613973406;1,806986703;0,937057423
50;12;14,45589362;7,227946811;1,874114846
50;18;32,52576065;16,26288032;2,811172268
50;24;57,82357449;28,91178724;3,748229691
50;30;90,34933514;45,17466757;4,685287114
51;6;3,58953248;1,79476624;0,950637262
51;12;14,35812992;7,17906496;1,901274523
51;18;32,30579232;16,15289616;2,851911785
51;24;57,43251968;28,71625984;3,802549047
51;30;89,73831199;44,869156;4,753186309
52;6;3,560718262;1,780359131;0,963927527
52;12;14,24287305;7,121436523;1,927855055
52;18;32,04646435;16,02323218;2,891782582
52;24;56,97149219;28,48574609;3,855710109
52;30;89,01795654;44,50897827;4,819637637
53;6;3,527565857;1,763782928;0,976924171
53;12;14,11026343;7,055131713;1,953848343
53;18;31,74809271;15,87404635;2,930772514
53;24;56,44105371;28,22052685;3,907696685
53;30;88,18914642;44,09457321;4,884620857
54;6;3,490115656;1,745057828;0,989623235
54;12;13,96046262;6,980231312;1,979246469
54;18;31,41104091;15,70552045;2,968869704
54;24;55,8418505;27,92092525;3,958492939
54;30;87,2528914;43,6264457;4,948116174
55;6;3,448413287;1,724206644;1,002020849
55;12;13,79365315;6,896826575;2,004041699
55;18;31,03571959;15,51785979;3,006062548
55;24;55,1746126;27,5873063;4,008083397
55;30;86,21033218;43,10516609;5,010104246
56;6;3,402509558;1,701254779;1,014113239
56;12;13,61003823;6,805019116;2,028226477
56;18;30,62258602;15,31129301;3,042339716
56;24;54,44015293;27,22007646;4,056452954
56;30;85,06273895;42,53136948;5,070566193
57;6;3,352460395;1,676230198;1,025896719
57;12;13,40984158;6,70492079;2,051793438
57;18;30,17214356;15,08607178;3,077690158
57;24;53,63936632;26,81968316;4,103586877
57;30;83,81150988;41,90575494;5,129483596
58;6;3,298326775;1,649163388;1,037367702
58;12;13,1933071;6,596653551;2,074735403
58;18;29,68494098;14,84247049;3,112103105
58;24;52,77322841;26,3866142;4,149470807
58;30;82,45816939;41,22908469;5,186838509
59;6;3,240174653;1,620087326;1,048522692
59;12;12,96069861;6,480349305;2,097045384
59;18;29,16157187;14,58078594;3,145568076
59;24;51,84279444;25,92139722;4,194090768
59;30;81,00436632;40,50218316;5,24261346
60;6;3,178074876;1,589037438;1,059358292
60;12;12,71229951;6,356149753;2,118716584
60;18;28,60267389;14,30133694;3,178074876
60;24;50,84919802;25,42459901;4,237433168
60;30;79,45187191;39,72593595;5,29679146
61;6;3,112103105;1,556051553;1,069871201
61;12;12,44841242;6,22420621;2,139742403
61;18;28,00892795;14,00446397;3,209613604
61;24;49,79364968;24,89682484;4,279484806
61;30;77,80257763;38,90128881;5,349356007
62;6;3,042339716;1,521169858;1,080058218
62;12;12,16935886;6,084679432;2,160116435
62;18;27,38105744;13,69052872;3,240174653
62;24;48,67743545;24,33871773;4,32023287
62;30;76,05849289;38,02924645;5,400291088
63;6;2,968869704;1,484434852;1,089916238
63;12;11,87547882;5,937739408;2,179832475
63;18;26,71982734;13,35991367;3,269748713
63;24;47,50191527;23,75095763;4,35966495
63;30;74,2217426;37,1108713;5,449581188
64;6;2,891782582;1,445891291;1,099442258
64;12;11,56713033;5,783565164;2,198884517
64;18;26,02604324;13,01302162;3,298326775
64;24;46,26852131;23,13426066;4,397769034
64;30;72,29456455;36,14728228;5,497211292
65;6;2,811172268;1,405586134;1,108633379
65;12;11,24468907;5,622344537;2,217266757
65;18;25,30055041;12,65027521;3,325900136
65;24;44,97875629;22,48937815;4,434533515
65;30;70,27930671;35,13965335;5,543166893
66;6;2,727136974;1,363568487;1,117486798
66;12;10,9085479;5,454273948;2,234973597
66;18;24,54423277;12,27211638;3,352460395
66;24;43,63419159;21,81709579;4,469947193
66;30;68,17842436;34,08921218;5,587433992
67;6;2,639779084;1,319889542;1,125999821
67;12;10,55911634;5,279558168;2,251999641
67;18;23,75801175;11,87900588;3,377999462
67;24;42,23646534;21,11823267;4,503999283
67;30;65,9944771;32,99723855;5,629999104
68;6;2,549205029;1,274602515;1,134169853
68;12;10,19682012;5,098410058;2,268339705
68;18;22,94284526;11,47142263;3,402509558
68;24;40,78728047;20,39364023;4,536679411
68;30;63,73012573;31,86506287;5,670849263
69;6;2,455525161;1,22776258;1,141994406
69;12;9,822100644;4,911050322;2,283988811
69;18;22,09972645;11,04986322;3,425983217
69;24;39,28840258;19,64420129;4,567977622
69;30;61,38812902;30,69406451;5,709972028
70;6;2,358853614;1,179426807;1,149471096
70;12;9,435414454;4,717707227;2,298942192
70;18;21,22968252;10,61484126;3,448413287
70;24;37,74165782;18,87082891;4,597884383
70;30;58,97134034;29,48567017;5,747355479
71;6;2,259308166;1,129654083;1,156597646
71;12;9,037232665;4,518616333;2,313195292
71;18;20,3337735;10,16688675;3,469792938
71;24;36,14893066;18,07446533;4,626390584
71;30;56,48270416;28,24135208;5,78298823
72;6;2,1570101;1,07850505;1,163371885
72;12;8,628040401;4,3140202;2,326743771
72;18;19,4130909;9,706545451;3,490115656
72;24;34,5121616;17,2560808;4,653487542
72;30;53,9252525;26,96262625;5,816859427
73;6;2,052084049;1,026042025;1,16979175
73;12;8,208336198;4,104168099;2,339583501
73;18;18,46875644;9,234378222;3,509375251
73;24;32,83334479;16,4166724;4,679167002
73;30;51,30210124;25,65105062;5,848958752
74;6;1,94465785;0,972328925;1,175855286
74;12;7,778631402;3,889315701;2,351710571
74;18;17,50192065;8,750960327;3,527565857
74;24;31,11452561;15,5572628;4,703421142
74;30;48,61644626;24,30822313;5,879276428
75;6;1,834862385;0,917431193;1,181560644
75;12;7,339449541;3,669724771;2,363121288
75;18;16,51376147;8,256880734;3,544681931
75;24;29,35779817;14,67889908;4,726242575
75;30;45,87155963;22,93577982;5,907803219
76;6;1,722831423;0,861415712;1,186906087
76;12;6,891325692;3,445662846;2,373812174
76;18;15,50548281;7,752741404;3,560718262
76;24;27,56530277;13,78265138;4,747624349
76;30;43,07078558;21,53539279;5,934530436
77;6;1,608701456;0,804350728;1,191889988
77;12;6,434805824;3,217402912;2,383779975
77;18;14,4783131;7,239156552;3,575669963
77;24;25,7392233;12,86961165;4,76755995
77;30;40,2175364;20,1087682;5,959449938
78;6;1,492611534;0,746305767;1,196510827
78;12;5,970446137;2,985223068;2,393021653
78;18;13,43350381;6,716751904;3,58953248
78;24;23,88178455;11,94089227;4,786043306
78;30;37,31528836;18,65764418;5,982554133
79;6;1,374703095;0,687351548;1,200767197
79;12;5,49881238;2,74940619;2,401534394
79;18;12,37232786;6,186163928;3,602301591
79;24;21,99524952;10,99762476;4,803068788
79;30;34,36757738;17,18378869;6,003835984
80;6;1,255119792;0,627559896;1,204657802
80;12;5,020479168;2,510239584;2,409315604
80;18;11,29607813;5,648039064;3,613973406
80;24;20,08191667;10,04095834;4,818631207
80;30;31,3779948;15,6889974;6,023289009
81;6;1,134007319;0,567003659;1,208181456
81;12;4,536029275;2,268014638;2,416362913
81;18;10,20606587;5,103032935;3,624544369
81;24;18,1441171;9,07205855;4,832725826
81;30;28,35018297;14,17509149;6,040907282
82;6;1,011513232;0,505756616;1,211337087
82;12;4,046052929;2,023026465;2,422674174
82;18;9,103619091;4,551809546;3,634011261
82;24;16,18421172;8,092105859;4,845348349
82;30;25,28783081;12,6439154;6,056685436
83;6;0,887786773;0,443893386;1,214123733
83;12;3,551147091;1,775573546;2,428247466
83;18;7,990080956;3,995040478;3,642371199
83;24;14,20458837;7,102294183;4,856494932
83;30;22,19466932;11,09733466;6,070618664
84;6;0,762978682;0,381489341;1,216540545
84;12;3,051914728;1,525957364;2,43308109
84;18;6,866808137;3,433404069;3,649621634
84;24;12,20765891;6,103829455;4,866162179
84;30;19,07446705;9,537233524;6,082702724
85;6;0,637241019;0,318620509;1,218586787
85;12;2,548964076;1,274482038;2,437173573
85;18;5,735169171;2,867584585;3,65576036
85;24;10,1958563;5,097928152;4,874347147
85;30;15,93102547;7,965512737;6,092933933
